event_id,drug,resolved,path,chembl_id,hand_moa,ot_moa,hand_target,ot_target,hand_modality,ot_modality,ot_indications
zolgensma-2019,onasemnogene abeparvovec,True,direct,CHEMBL4297240,aav gene therapy,Survival motor neuron protein exogenous gene,SMN1,SMN2,gene_therapy,gene,"proximal spinal muscular atrophy; spinal muscular atrophy; spinal muscular atrophy, type 1"
exacel-2023,exagamglogene autotemcel,True,direct,CHEMBL5095474,crispr gene editing,B-cell lymphoma/leukemia 11A gene editing negative modulator,BCL11A,BCL11A,gene_editing,gene,sickle cell disease; beta thalassemia; Beta-thalassemia; Thalassemia
beticel-2022,betibeglogene autotemcel,True,direct,CHEMBL4594311,lentiviral gene therapy,Hemoglobin beta chain exogenous gene,beta-globin,HBB,gene_therapy,gene,beta-thalassemia major; Beta-thalassemia; sickle cell disease
tirzepatide-2023,tirzepatide,True,direct,CHEMBL4297839,gip/glp-1 dual agonist,Glucagon-like peptide 1 receptor agonist,GIPR/GLP1R,GLP1R,peptide,peptide,chronic kidney disease; non-alcoholic steatohepatitis; Hepatic failure; type 2 diabetes mellitus
semaglutide-2021,semaglutide,True,direct,CHEMBL2108724,glp-1 agonist,Glucagon-like peptide 1 receptor agonist,GLP1R,GLP1R,peptide,peptide,major depressive disorder; liver disease; Osteopenia; diabetes mellitus
vk2735-2024,VK2735,True,manual,,gip/glp-1 dual agonist,gip/glp-1 dual agonist,GIPR/GLP1R,GIPR/GLP1R,peptide,peptide,
retatrutide-2023,retatrutide,True,direct,CHEMBL5095485,gip/glp-1/glucagon triple,Gastric inhibitory polypeptide receptor agonist,GIPR/GLP1R/GCGR,GIPR,peptide,peptide,obesity; Hepatic failure; diabetes mellitus; type 2 diabetes mellitus
orforglipron-2025,orforglipron,True,direct,CHEMBL4446782,oral glp-1 agonist,,GLP1R,,small_molecule,small_molecule,Renal insufficiency; osteoarthritis; obesity; Hepatic failure
cagrisema-2024,CagriSema,True,direct,CHEMBL2108724,glp-1/amylin coagonist,Glucagon-like peptide 1 receptor agonist,GLP1R/amylin,GLP1R,peptide,peptide,major depressive disorder; liver disease; Osteopenia; diabetes mellitus
resmetirom-2022,resmetirom,True,direct,CHEMBL3261331,thr-beta agonist,Thyroid hormone receptor beta-1 agonist,THRB,THRB,small_molecule,small_molecule,non-alcoholic steatohepatitis; Hypercholesterolemia; familial hyperlipidemia; Abnormal circulating lipid concentration
efruxifermin-2023,efruxifermin,True,direct,CHEMBL4594389,fgf21 analog,,FGF21,,peptide,peptide,non-alcoholic fatty liver disease; diabetes mellitus; non-alcoholic steatohepatitis; type 2 diabetes mellitus
pegozafermin-2023,pegozafermin,True,direct,CHEMBL4594466,fgf21 analog,,FGF21,,peptide,peptide,non-alcoholic fatty liver disease; non-alcoholic steatohepatitis; Hypertriglyceridemia
ocaliva-nash-2020,obeticholic acid,True,direct,CHEMBL566315,fxr agonist,Bile acid receptor FXR agonist,NR1H4,NR1H4,small_molecule,small_molecule,non-alcoholic steatohepatitis; sclerosing cholangitis; fatty liver disease; obesity
bempedoic-2022,bempedoic acid,True,direct,CHEMBL3545313,acl inhibitor,ATP-citrate synthase inhibitor,ACLY,ACLY,small_molecule,small_molecule,atherosclerosis; coronary artery disease; familial hypercholesterolemia; Disorder of lipid metabolism
sotorasib-2021,sotorasib,True,direct,CHEMBL4535757,kras g12c inhibitor,GTPase KRas inhibitor,KRAS,KRAS,small_molecule,small_molecule,liver disease; colorectal cancer; non-small cell lung carcinoma; pancreatic adenocarcinoma
adagrasib-2022,adagrasib,True,direct,CHEMBL4594350,kras g12c inhibitor,GTPase KRas inhibitor,KRAS,KRAS,small_molecule,small_molecule,metastatic malignant neoplasm; neoplasm; cancer; Malignant Pancreatic Neoplasm
